"","CN1","CN2","CN3","CV1","CV2","CV3","EM1","EM2","EM3"
"ENSG00000003989",370.48451085046,309.370713797043,361.793556926845,765.721882447533,747.400477094387,821.004767207405,498.63629812877,468.900431025702,441.535907138806
"ENSG00000004059",37.6655837909506,34.5304719142505,35.0497578639999,38.7809516746209,38.5032015902146,37.6442283435854,33.5787781989208,36.4480485971037,31.2157377521281
"ENSG00000004139",3.41057207406724,2.89117760390288,1.61337682537902,2.90449351039939,1.33398963432411,1.26541878595904,3.28470986986544,2.95062299418728,1.9313440418035
"ENSG00000004142",164.340639675481,132.474230843414,133.572155207124,179.373426133882,150.584612435438,128.878313977401,182.982198065999,166.083457594605,147.379760978311
"ENSG00000004399",40.5137967883187,56.2761323046814,30.7379254689751,38.3670867279305,30.6772630671745,23.6400185469595,47.3603972149539,33.993817063826,28.5816361179096
"ENSG00000004455",116.626597763987,95.9020625447715,113.43026435135,113.732402628461,107.112182740455,107.675461006015,122.409582182927,125.215255363784,121.692077508582
"ENSG00000004468",6.05909050281841,5.52162560001018,6.19249209481111,6.47581128212877,6.31681299243622,19.7045373673723,11.2224094269626,8.2025167707369,8.66914765874843
"ENSG00000004478",101.200934610009,161.858068727943,312.204098863994,91.4195932366769,395.280960761061,353.617988949862,98.2700981600502,175.013088228258,282.551431623308
"ENSG00000004487",28.1135565052659,26.4797333178196,34.434635195445,29.3321000877854,29.1223858279615,42.6663675066599,28.6868427131568,27.7414170033053,32.8301927737299
"ENSG00000004534",32.6867149522035,43.2980908464598,34.2284363847688,32.855155677907,35.9276179122303,35.7397380705599,27.5175979969066,34.5590593180531,33.7669662412164
"ENSG00000004660",1.1810894993281,1.98415149269481,0.814659723192765,0.794983308036979,0.622173550302809,1.03347268936155,1.20269142373449,1.06010720598371,1.11140441046477
"ENSG00000004700",11.0013379044618,12.7311675347927,19.0731184743659,13.1741432780087,13.9370122416112,24.7181649347396,14.3584934035787,14.1967377680138,18.2595892179151
"ENSG00000004766",10.3911198014695,9.83578422212925,9.77509680716632,10.9282874243332,8.69181163434724,9.46268849550928,11.3113256233953,10.6152330193943,9.31529282991896
"ENSG00000004776",3.22029888720001,2.98848092514911,2.5241076207044,2.40967976440299,2.5434980243764,1.8296068624424,3.94026384112809,3.51451122101621,3.50960635208203
"ENSG00000004777",1.86519761806292,3.0484036389578,1.29228206824435,2.19101063132506,1.68556127270519,0.984205893839326,2.51160243767807,2.08942706710593,1.73699173996788
"ENSG00000004779",45.6809050977262,38.2877795215116,38.02947534593,40.8324183758241,38.7134766875327,40.14960090263,32.1725226800611,34.5033221152593,32.6181826032768
"ENSG00000004799",68.1842175680474,129.285998739035,120.183025692003,105.798540226745,233.466502727613,88.1270983316962,118.399119510186,113.723857814117,126.663035364001
"ENSG00000004838",0.275050303575483,0.343647147103688,0.736050603703707,0.168715867007143,0.282749875495509,0.837183772009393,0.18526878434195,0.110588022055502,0.191829349402827
"ENSG00000004864",134.042913871548,98.9901234494291,79.8463333514152,123.767052473306,86.8549670705659,70.4239750021022,112.501420931224,96.205990039134,82.4565558882101
"ENSG00000004866",22.7524964349717,18.6043953534039,18.6952778375845,26.5046775795393,22.4859854403353,23.5271880543183,28.0757652572464,24.2368174678165,22.4871046098274
"ENSG00000004897",34.9988482294932,40.0925223186651,57.7468033347709,36.3364330452085,47.3892118988341,72.0661532749279,34.653155954881,37.6326341460288,49.1358038190878
"ENSG00000004939",1.42126737733044,1.44561679831176,0.644167739866665,1.20428053582148,0.416145899758812,0.604788034220977,1.66411018209875,0.697701498021667,0.379311037335531
"ENSG00000004961",11.4462518956398,12.4378649538287,23.0650252033742,12.9054721877636,17.3950776585283,26.5176320340813,12.3940368640476,14.301936164326,18.3250462725321
"ENSG00000004975",10.545093541568,10.8752642486778,9.65572333180961,10.1371166891131,9.17640911813998,12.1146002150069,12.2732956044136,10.3712178313027,11.2173280859213
"ENSG00000005001",0.184393262790227,3.15362448715604,7.89646192168419,0.175948492520118,4.36539331161906,6.45505731072766,0.313967472792834,1.08319138706802,4.8353675733707
"ENSG00000005007",81.5249227246381,75.170577278427,87.8336107736772,83.5979865634834,77.5909082566822,113.636536064724,100.735921793621,96.2568669692223,105.747556385307
"ENSG00000005020",19.1445044544409,18.9465859227443,12.5561972344051,16.8143077692489,14.674355292297,9.72771360816705,13.9664199783598,12.1625923970459,8.89356065009105
"ENSG00000005022",163.280596149213,143.747797364119,166.254214121672,133.44783459311,136.755762742241,147.310559729626,144.229695033637,148.985088227858,148.363380458133
"ENSG00000005059",2.30149986773551,2.8632633200492,4.82599213024254,1.51927827803456,1.87152690933664,5.46990349997723,1.85068000247367,2.0095409647039,4.72081146809275
"ENSG00000005075",19.565993700912,18.3003573122291,17.1112349257345,20.3242688763122,19.5190201041177,18.1203298274728,18.2018649429038,19.1701217560187,16.7368077418639
"ENSG00000005100",16.6996343251985,16.4178555067563,24.0038527602585,17.1421267460875,17.6892209166699,30.1086107908607,18.5014434804301,17.5391870350727,22.4165565493035
"ENSG00000005108",3.10513387106064,3.1172829520052,2.77160258387639,3.52924853186421,3.44835411360463,3.24411948266987,3.03602841583785,2.62210356354396,2.2090669702673
"ENSG00000005156",11.8831930565641,10.5549079825256,11.5411985975677,12.3593976616557,10.2175209442806,11.3985769945865,12.2931564079111,12.0406334160749,11.5125611049862
"ENSG00000005175",16.8753991634661,15.3992833661709,18.7217444400218,16.4221357139648,17.1420313357741,23.479433813478,15.8386266694577,14.3057831223634,14.4233824252903
"ENSG00000005187",65.4516393158819,51.969930024143,49.029212946568,75.4580545271869,60.1267537044699,42.1424012164693,54.645555989821,54.0115775813222,44.9636718196674
"ENSG00000005189",2.37373866935554,2.09769344787804,2.89295816335561,1.40616012878254,1.23942496778741,1.39378465694787,2.17391940302396,2.32676731089125,2.15316740863827
"ENSG00000005194",16.8313453439177,14.6780593509697,23.3718834584167,17.9772319645265,17.8445450020193,26.4933104858596,20.9463968448404,18.3976636192009,20.8135878932706
