"","symbol","PC1 Percent Contribution","Loading"
"ENSG00000127314","RAP1B","0.0042140785946594","0.0136976618154386"
"ENSG00000136950","ARPC5L","0.00421112968370093","0.0136928683293723"
"ENSG00000069345","DNAJA2","0.00420974439589188","0.0136906159499376"
"ENSG00000137693","YAP1","0.00420964542094389","0.013690455009529"
"ENSG00000178573","MAF","0.0042094350162439","-0.0136901128700154"
"ENSG00000165410","CFL2","0.00420885946470616","0.0136891769207923"
"ENSG00000126524","SBDS","0.00420871173703551","0.0136889366789902"
"ENSG00000170854","RIOX2","0.00420576687630764","0.0136841467255961"
"ENSG00000011260","UTP18","0.00420544419168629","0.0136836217620716"
"ENSG00000053328","METTL24","0.00420393097728349","-0.0136811597015175"
"ENSG00000242247","ARFGAP3","0.00420387596819661","0.0136810701911797"
"ENSG00000064703","DDX20","0.00420183487787563","0.0136777485315405"
"ENSG00000130304","SLC27A1","0.00420176517048126","-0.0136776350758488"
"ENSG00000165660","ABRAXAS2","0.0041975095031517","0.0136707067721016"
"ENSG00000110713","NUP98","0.00419633320910475","0.0136687911245321"
"ENSG00000084652","TXLNA","0.00419579035388776","0.0136679069699389"
"ENSG00000158769","F11R","0.00419522885858717","0.0136669923958469"
"ENSG00000006695","COX10","0.00419445539954988","0.0136657324710121"
"ENSG00000156261","CCT8","0.00418522869495622","0.0136506936778917"
"ENSG00000247626","MARS2","0.00417851340813122","0.0136397378699114"
"ENSG00000198887","SMC5","0.00417664617268616","0.0136366899620285"
"ENSG00000106682","EIF4H","0.00417617064199199","0.0136359136394764"
"ENSG00000141380","SS18","0.00417546302136694","0.0136347583391625"
"ENSG00000159110","IFNAR2","0.00417389278771675","0.013632194339736"
"ENSG00000132463","GRSF1","0.00417294770899943","0.0136306509093259"
"ENSG00000155330","C16orf87","0.00417235100000457","0.0136296763197367"
"ENSG00000037474","NSUN2","0.00417166412510784","0.0136285543781926"
"ENSG00000134248","LAMTOR5","0.00417136726490452","0.0136280694581127"
"ENSG00000145907","G3BP1","0.00416835783357173","0.0136231525883607"
"ENSG00000185651","UBE2L3","0.0041646154083811","0.0136170356617317"
"ENSG00000105447","GRWD1","0.0041637294578349","0.0136155871892233"
"ENSG00000182263","FIGN","0.00416154521976367","-0.0136120154411681"
"ENSG00000100554","ATP6V1D","0.00415989547864276","0.0136093171011973"
"ENSG00000188636","RTL6","0.00415940791395795","0.0136085195310569"
"ENSG00000147439","BIN3","0.004158557986714","0.0136071290876745"
"ENSG00000136754","ABI1","0.00415770351432367","0.0136057310653948"
"ENSG00000119231","SENP5","0.0041526364604894","0.0135974377865239"
"ENSG00000005206","SPPL2B","0.00415211473522541","-0.0135965835882668"
"ENSG00000109332","UBE2D3","0.0041509216881249","0.0135946300620435"
"ENSG00000163811","WDR43","0.00415088038578101","0.0135945624274884"
"ENSG00000100410","PHF5A","0.00414867533281516","0.0135909510595892"
"ENSG00000168175","MAPK1IP1L","0.0041474635544551","0.0135889660376416"
"ENSG00000112365","ZBTB24","0.0041462392266102","0.0135869601637745"
"ENSG00000137492","THAP12","0.00414431415339228","0.0135838056268068"
"ENSG00000037042","TUBG2","0.00414327398581701","-0.0135821008428155"
"ENSG00000075975","MKRN2","0.00414231704805763","0.0135805322794348"
"ENSG00000130803","ZNF317","0.00413845714597599","0.0135742034855115"
"ENSG00000273841","TAF9","0.00413742108211362","0.013572504226401"
"ENSG00000022840","RNF10","0.00413722244158163","0.0135721784096945"
"ENSG00000168010","ATG16L2","0.0041367103514675","-0.013571338426642"
"ENSG00000106052","TAX1BP1","0.00413553110485788","0.0135694039069165"
"ENSG00000100321","SYNGR1","0.0041351089495711","-0.0135687113064199"
"ENSG00000198841","KTI12","0.00413480077416701","0.013568205682378"
"ENSG00000164930","FZD6","0.00413453347737471","0.0135677671127021"
"ENSG00000153201","RANBP2","0.0041338507483027","0.0135666468543303"
"ENSG00000143799","PARP1","0.00413353318271372","0.0135661257442073"
"ENSG00000138735","PDE5A","0.00413259973122889","-0.0135645938785296"
"ENSG00000015475","BID","0.00413167276855625","0.0135630724902768"
"ENSG00000124209","RAB22A","0.00413037516762633","0.0135609425009833"
"ENSG00000183023","SLC8A1","0.00412072229787345","-0.0135450869700904"
"ENSG00000113595","TRIM23","0.00411759878916293","0.0135399524069576"
"ENSG00000141026","MED9","0.00411755416007839","0.013539879029566"
"ENSG00000187699","C2orf88","0.00411638723978271","-0.0135379602837988"
"ENSG00000164933","SLC25A32","0.00411509113010263","0.0135358287954596"
"ENSG00000062716","VMP1","0.00411390158181379","0.0135338722548562"
"ENSG00000074319","TSG101","0.00411274846650895","0.0135319753683287"
"ENSG00000205339","IPO7","0.00411265015284758","0.0135318136290434"
"ENSG00000114491","UMPS","0.0041117148445675","0.0135302748235858"
"ENSG00000133316","WDR74","0.00411111087552989","0.0135292810573002"
"ENSG00000101216","GMEB2","0.00410927927082481","0.0135262669017265"
"ENSG00000127241","MASP1","0.00410368557429881","-0.0135170575497792"
"ENSG00000070047","PHRF1","0.00410158237189368","0.0135135932551887"
"ENSG00000136888","ATP6V1G1","0.00410083325656834","0.0135123591336765"
"ENSG00000107651","SEC23IP","0.00409749534258226","0.0135068587546706"
"ENSG00000169683","LRRC45","0.0040950957977001","-0.0135029032821868"
"ENSG00000141428","C18orf21","0.00409438567259624","0.0135017324711974"
"ENSG00000130935","NOL11","0.004092356977606","0.0134983871230817"
"ENSG00000125630","POLR1B","0.00408858530716605","0.0134921653780252"
"ENSG00000137692","DCUN1D5","0.0040882111961977","0.0134915480884072"
"ENSG00000182179","UBA7","0.00408794705892007","-0.013491112240285"
"ENSG00000168282","MGAT2","0.00408775423243879","0.0134907940519202"
"ENSG00000135503","ACVR1B","0.00408715008347086","0.0134897970802323"
"ENSG00000179406","LINC00174","0.00408505944347368","-0.0134863465197984"
"ENSG00000134987","WDR36","0.00408501457831637","0.0134862724610573"
"ENSG00000139826","ABHD13","0.0040844452750206","0.0134853326789914"
"ENSG00000197024","ZNF398","0.00408357414182569","0.0134838945219594"
"ENSG00000172409","CLP1","0.00408083549789583","0.0134793722850614"
"ENSG00000085063","CD59","0.00408082115094297","0.0134793485903928"
"ENSG00000152952","PLOD2","0.0040807767333868","0.0134792752324423"
"ENSG00000130962","PRRG1","0.00408050731299551","0.0134788302618169"
"ENSG00000188747","NOXA1","0.00407927636493764","-0.0134767970597984"
"ENSG00000187091","PLCD1","0.00407882899532975","-0.0134760580470192"
"ENSG00000121749","TBC1D15","0.00407798303950834","0.0134746604962845"
"ENSG00000233695","NULL","0.00407611947807746","-0.0134715813114517"
"ENSG00000167257","RNF214","0.00407373211975289","-0.0134676356221093"
"ENSG00000109111","SUPT6H","0.00407365396498386","0.013467506432834"
"ENSG00000124789","NUP153","0.00407311625792312","0.0134666175733061"
"ENSG00000115946","PNO1","0.00407262342245865","0.0134658028374776"
"ENSG00000204574","ABCF1","0.00407178201523638","0.0134644117428619"
"ENSG00000114626","ABTB1","0.00406611281684459","-0.0134550351346228"
