"","x"
"812","SCTR"
"813","NAP1L3"
"814","NEXN"
"815","MIR210HG"
"816","CARMN"
"817","MIR122HG"
"818","ENSG00000254837"
"819","SENP8"
"820","C2orf74"
"821","AKR1C5P"
"822","PAXIP1-AS2"
"823","ENSG00000254231"
"824","LINC01558"
"825","TAF1A-AS1"
"826","TMEM230"
"827","ENSG00000254473"
"828","ENSG00000286585"
"829","ENSG00000286081"
"830","EMBP1"
"831","PPP3CB-AS1"
"832","TMEM218"
"833","KLLN"
"834","CCDC90B"
"835","ERCC2"
"836","CALD1"
"837","XYLB"
"838","SLC6A1"
"839","PPP6R2"
"840","PHKB"
"841","ZFP2"
"842","ENSG00000279722"
"843","DNAJC16"
"844","ENSG00000224417"
"845","ENSG00000279026"
"846","LINC01719"
"847","LINC00957"
"848","KCTD21-AS1"
"849","PREPL"
"850","DYNC2LI1"
"851","HYKK"
"852","PLEKHA6"
"853","ENSG00000285851"
"854","CCDC144NL-AS1"
"855","PAN2"
"856","CDK2AP2"
"857","MYO7A"
"858","PRPF40B"
"859","ENSG00000262445"
"860","CHST9"
"861","ZNF76"
"862","CES5A"
"863","LINC02499"
"864","MOV10"
"865","FZD2"
"866","C19orf54"
"867","BTG1P1"
"868","ZNF839"
"869","LRRC27"
"870","ENSG00000260645"
"871","ACAD8"
"872","ACBD4"
"873","LLGL2"
"874","DENND2B"
"875","TUSC8"
"876","LINC01127"
"877","VPS8"
"878","VPS13B"
"879","ONECUT1"
"880","CDK19"
"881","MTSS1"
"882","ZMYM3"
"883","MST1L"
"884","TIA1"
"885","PIGQ"
"886","LRRC29"
"887","EXOC3L4"
"888","SLC23A1"
"889","ENSG00000278965"
"890","PRMT7"
"891","LINC01270"
"892","PAFAH2"
"893","PGAP3"
"894","HMG20B"
"895","NUDT7"
"896","BOLA1"
"897","CCDC152"
"898","NUGGC"
"899","NAT1"
"900","MGC27382"
"901","ACACB"
"902","LINC02609"
"903","BIVM"
"904","CZIB"
"905","ENSG00000243696"
"906","LMNTD2-AS1"
"907","ENSG00000256967"
"908","SEC31B"
"909","GRTP1-AS1"
"910","ENSG00000273154"
"911","TMEM42"
"912","LINC02814"
"913","FES"
"914","LPIN3"
"915","PARP3"
"916","DNAJC4"
"917","DGLUCY"
"918","PARP10"
"919","ZNF254"
"920","LINC00886"
"921","DHRS4L1"
"922","ENSG00000227712"
"923","CLDN14"
"924","HEXIM2"
"925","DCAF8"
"926","TRAPPC9"
"927","CTSLP3"
"928","ZNF214"
"929","XPNPEP3"
"930","ENSG00000247796"
"931","NAT2"
"932","RNF43"
"933","PXMP4"
"934","DHRS4-AS1"
"935","TADA1"
"936","HDHD3"
"937","LBX2-AS1"
"938","SKIDA1"
"939","ENSG00000275944"
"940","RNU1-70P"
"941","SLC4A4"
"942","IRAK1BP1"
"943","ENSG00000280339"
"944","DNAJC28"
"945","ATP8B4"
"946","C22orf46"
"947","DCAKD"
"948","MKS1"
"949","KLHL22"
"950","LYRM7"
"951","LZIC"
"952","ZNF33B"
"953","PATZ1"
"954","NINL"
"955","PPARA"
"956","PAAF1"
"957","DMD"
"958","SPACA9"
"959","TMEM260"
"960","IMPACT"
"961","THNSL1"
"962","ENSG00000262879"
"963","BTBD2"
"964","BTBD8"
"965","FPGT"
"966","ENSG00000274220"
"967","FTOP1"
"968","CYB5RL"
"969","SLX4IP"
"970","HIP1"
"971","ENSG00000230896"
"972","TMEM129"
"973","AR"
"974","SFXN5"
"975","SLC35A3"
"976","HFE"
"977","HGSNAT"
"978","DPY19L4"
"979","PNPO"
"980","METTL15"
"981","AMZ2"
"982","SUOX"
"983","BPHL"
"984","RNF170"
"985","SORBS2"
"986","ENSG00000279278"
"987","ENSG00000288065"
"988","LINC01355"
"989","ENSG00000270933"
"990","PRIMA1"
"991","BNIPL"
"992","ENSG00000272010"
"993","EGILA"
"994","IRAG1"
"995","ENSG00000260261"
"996","ACKR4"
"997","ZNF514"
"998","KANK2"
"999","RECQL5"
"1000","ZFP14"
"1001","PPP1R3E"
"1002","RABL2B"
"1003","USP51"
"1004","ENSG00000279407"
"1005","ENSG00000276900"
"1006","ENSG00000281538"
"1007","KCTD7"
"1008","MYLK-AS1"
"1009","ABI2"
"1010","CUL7"
"1011","ZNF599"
"1012","TRIM45"
"1013","RHOBTB1"
"1014","ENSG00000235381"
"1015","RNASEL"
"1016","LTB4R2"
"1017","ENSG00000227252"
"1018","ENSG00000273901"
"1019","ENSG00000279611"
"1020","ENSG00000268230"
"1021","ENSG00000280384"
"1022","ENSG00000257489"
"1023","UBA6-AS1"
"1024","MZF1-AS1"
"1025","HEMK1"
"1026","FAM99A"
"1027","RNF215"
"1028","ENSG00000272402"
"1029","ENSG00000257817"
"1030","ITIH4-AS1"
"1031","ENSG00000257285"
"1032","WDFY3-AS2"
"1033","ZNF483"
"1034","ENSG00000247199"
"1035","LINC00639"
