"","x"
"491","UBQLN1"
"492","PAPOLA"
"493","CASP3"
"494","RSL24D1"
"495","PPP6C"
"496","SMU1"
"497","TFIP11"
"498","DDX20"
"499","C18orf21"
"500","ATP6V1D"
"501","RAMAC"
"502","GLRX2"
"503","PSMD6"
"504","GOLGA7"
"505","ATP6V1E1"
"506","MRFAP1"
"507","VPS26A"
"508","ORC4"
"509","VPS18"
"510","ESS2"
"511","SUPT7L"
"512","TMEM170A"
"513","RNF216P1"
"514","GPATCH3"
"515","MED26"
"516","YKT6"
"517","MED10"
"518","C1orf198"
"519","TBC1D30"
"520","PPAT"
"521","DNAJC2"
"522","AGFG1"
"523","CCDC86"
"524","ARPC5L"
"525","RRP12"
"526","SPRING1"
"527","SF3B4"
"528","CCT2"
"529","CCT6A"
"530","RALY"
"531","ENSG00000277782"
"532","AEBP2"
"533","UBE2FP1"
"534","SOS2"
"535","MRTFA"
"536","TNFRSF10A"
"537","RNF2"
"538","STK17A"
"539","ZNF35"
"540","RAE1"
"541","SERPINB1"
"542","MAP3K9"
"543","ASB6"
"544","BEND3"
"545","ZNF778"
"546","GOLT1B"
"547","CHMP2B"
"548","BZW2"
"549","STAM"
"550","BTBD10"
"551","SOCS1"
"552","C11orf96"
"553","POMK"
"554","CCL20"
"555","SPATA2"
"556","ZNF670"
"557","DYRK3"
"558","ZNF394"
"559","ABHD17B"
"560","RNF19B"
"561","IL1RN"
"562","UBL3"
"563","EPS8"
"564","RAPGEF2"
"565","MTRF1L"
"566","SAT1"
"567","AP1AR"
"568","MAP4K3"
"569","RAB7A"
"570","ZNF398"
"571","FBXO11"
"572","FAM126A"
"573","SLBP"
"574","ATP2B1"
"575","RBM14"
"576","TET3"
"577","SFPQ"
"578","RELB"
"579","NFKB2"
"580","LINC01767"
"581","ZC3H12C"
"582","GPATCH2L"
"583","MTF1"
"584","RTL6"
"585","SERPINB8"
"586","PPP2CA"
"587","AKIRIN1"
"588","RAB21"
"589","UBE2D1"
"590","NOP58"
"591","BTAF1"
"592","ISG20"
"593","ARSJ"
"594","SLC4A7"
"595","RASSF8"
"596","SLC37A3"
"597","DENND5A"
"598","RNF149"
"599","UBE2N"
"600","PICALM"
"601","EPC2"
"602","UBE2D3"
"603","RAP1B"
"604","SGMS2"
"605","PNPLA8"
"606","EIF1B"
"607","PIGA"
"608","SUSD6"
"609","C9orf72"
"610","SAV1"
"611","TM4SF1"
"612","PRNP"
"613","LRRC8B"
"614","SLC25A44"
"615","PPP3R1"
"616","RNF114"
"617","YTHDF3"
"618","MGAT2"
"619","USP38"
"620","CSNK1G3"
"621","AEN"
"622","TGS1"
"623","VPS37C"
"624","ZNF562"
"625","CLDND1"
"626","GABPB1"
"627","EYA3"
"628","TMEM185B"
"629","GMEB1"
"630","EIF4E"
"631","TAF13"
"632","PSMD12"
"633","KRAS"
"634","PVR"
"635","G3BP1"
"636","POM121"
"637","ZNF800"
"638","POM121C"
"639","USP12"
"640","PTBP3"
"641","AHCTF1"
"642","NUP153-AS1"
"643","PHF5A"
"644","VMA21"
"645","SMN1"
"646","MED1"
"647","SENP5"
"648","FBXO45"
"649","TMF1"
"650","RPF1"
"651","RNF4"
"652","OCLN"
"653","CASTOR2"
"654","KLF13"
"655","KIAA1522"
"656","CEP170B"
"657","LMNA"
"658","TP53INP1"
"659","ZXDB"
"660","LURAP1L"
"661","SPATA2L"
"662","SMURF1"
"663","HECA"
"664","CASZ1"
"665","ZBTB40"
"666","SGMS1"
"667","CCSER2"
"668","SLK"
"669","WAC"
"670","SPAG9"
"671","CCDC127"
"672","SNX25"
"673","SNX30"
"674","PARD3"
"675","SNRPA1"
"676","UBXN1"
"677","BAG1"
"678","POMP"
"679","GTF2F2"
"680","KHDRBS1"
"681","EWSR1"
"682","RCN1"
"683","PRPS1"
"684","RPL36AL"
"685","UCHL3"
"686","FRG1"
"687","CLTB"
"688","PABPC4"
"689","IPO5"
"690","BZW1"
"691","MIEF1"
"692","USP3"
"693","NEPRO"
"694","PPP4R3A"
"695","F11R"
"696","GMEB2"
"697","THAP12"
"698","TOMM70"
"699","ZNF770"
"700","POLR1D"
"701","EIF3M"
"702","GPR157"
"703","ITGA6"
"704","MAP3K21"
"705","AREL1"
"706","TNIK"
"707","PIKFYVE"
"708","CDK8"
"709","BCR"
"710","EMC8"
"711","SGTA"
"712","PRPF19"
"713","FNTA"
"714","TIMM9"
"715","AATF"
"716","DDX56"
"717","GEMIN4"
"718","SHQ1"
"719","KCTD2"
"720","UHRF1BP1"
"721","FAF2"
"722","TSG101"
"723","DCAF12"
"724","NAA30"
"725","TMEM167B"
"726","SMG7"
"727","KHNYN"
"728","AFTPH"
"729","CHMP4B"
"730","MFHAS1"
"731","BLOC1S6"
"732","MAPKAPK2"
"733","ARHGAP5"
"734","NEDD4L"
"735","USP16"
"736","CDC16"
"737","GPN2"
"738","CSNK2A2"
"739","PCYT1A"
"740","SLC49A4"
"741","KDSR"
"742","PPHLN1"
"743","PPP2R3A"
"744","NCOA6"
"745","UBE2G1"
"746","PSEN1"
"747","MKRN1"
"748","GRSF1"
"749","UTP18"
"750","DRG1"
"751","XRN2"
"752","MAP7"
"753","MET"
"754","EFR3A"
"755","LRRC41"
"756","AP4E1"
"757","KCTD20"
"758","GNG12"
"759","TBK1"
"760","SRPK1"
"761","RANBP2"
"762","TRIP12"
"763","C6orf47"
"764","SETD2"
"765","IL17RA"
"766","CTDP1"
"767","TRAPPC10"
"768","DCP2"
"769","USP7"
"770","GSPT1"
"771","WAPL"
"772","YTHDF1"
"773","COMMD5"
"774","AP5B1"
"775","UBE2J2"
"776","BRD4"
"777","SF1"
"778","MARK3"
"779","RICTOR"
"780","RB1CC1"
"781","PIK3CA"
"782","RNF10"
"783","USP47"
"784","SESTD1"
"785","RAB22A"
"786","SNX9"
"787","PPP3CC"
"788","ABI1"
"789","LRRFIP2"
"790","MAML1"
"791","NIPBL"
"792","KCMF1"
"793","TBC1D15"
"794","TMEM115"
"795","BFAR"
"796","USP31"
"797","CACUL1"
"798","PTP4A2"
"799","MIER1"
"800","LSM10"
"801","CGRRF1"
"802","WDR55"
"803","SENP2"
"804","TDRP"
"805","CLDN12"
"806","CFL2"
"807","PEX13"
"808","FAM168B"
"809","PSPC1"
"810","OSGIN2"
"811","BUD31"
"812","MT-TF"
"813","EPB41L4A-AS1"
"814","DAGLB"
"815","RIOK3"
"816","MUL1"
"817","PSME4"
"818","PHAX"
"819","COG1"
"820","GCLC"
"821","ZNF749"
"822","ARHGEF5"
"823","DPH3"
"824","ENAH"
"825","FAM83G"
"826","TBC1D20"
"827","CD2AP"
"828","SMAD5"
"829","MBNL2"
"830","RO60"
"831","BLOC1S4"
