"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","ensembl","symbol"
"137.77","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000180198","RCC1"
"137.78","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000149554","CHEK1"
"137.79","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000053254","FOXN3"
"137.80","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000173207","CKS1B"
"137.81","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000123975","CKS2"
"137.82","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000141367","CLTC"
"137.83","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000173846","PLK3"
"137.84","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000115966","ATF2"
"137.85","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000141551","CSNK1D"
"137.86","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000213923","CSNK1E"
"137.87","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000168036","CTNNB1"
"137.88","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000083799","CYLD"
"137.89","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000140465","CYP1A1"
"137.90","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000078725","BRINP1"
"137.91","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000204843","DCTN1"
"137.92","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000167986","DDB1"
"137.93","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000116717","GADD45A"
"137.94","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000215301","DDX3X"
"137.95","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000228716","DHFR"
"137.96","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000180096","SEPT1"
"137.97","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000075711","DLG1"
"137.98","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000138346","DNA2"
"137.99","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000197102","DYNC1H1"
"137.100","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000077380","DYNC1I2"
"137.101","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000079805","DNM2"
"137.102","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000119772","DNMT3A"
"137.103","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000116017","ARID3A"
"137.104","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000120129","DUSP1"
"137.105","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000108861","DUSP3"
"137.106","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000101412","E2F1"
"137.107","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000205250","E2F4"
"137.108","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000169016","E2F6"
"137.109","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000167967","E4F1"
"137.110","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000114346","ECT2"
"137.111","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000078401","EDN1"
"137.112","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000146648","EGFR"
"137.113","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000151247","EIF4E"
"137.114","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000187840","EIF4EBP1"
"137.115","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000114867","EIF4G1"
"137.116","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000066629","EML1"
"137.117","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000102119","EMD"
"137.118","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000143420","ENSA"
"137.119","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000100393","EP300"
"137.120","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000151491","EPS8"
"137.121","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000104884","ERCC2"
"137.122","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000124882","EREG"
"137.123","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000163161","ERCC3"
"137.124","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000105722","ERF"
"137.125","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000106462","EZH2"
