"","x"
"279","ENSMUSG00000035161"
"280","ENSMUSG00000105445"
"281","ENSMUSG00000020553"
"282","ENSMUSG00000033793"
"283","ENSMUSG00000046152"
"284","ENSMUSG00000092268"
"285","ENSMUSG00000054717"
"286","ENSMUSG00000006542"
"287","ENSMUSG00000037885"
"288","ENSMUSG00000097900"
"289","ENSMUSG00000031530"
"290","ENSMUSG00000071042"
"291","ENSMUSG00000004988"
"292","ENSMUSG00000021185"
"293","ENSMUSG00000053799"
"294","ENSMUSG00000101609"
"295","ENSMUSG00000022964"
"296","ENSMUSG00000045211"
"297","ENSMUSG00000105731"
"298","ENSMUSG00000030095"
"299","ENSMUSG00000112105"
"300","ENSMUSG00000076437"
"301","ENSMUSG00000086290"
"302","ENSMUSG00000038506"
"303","ENSMUSG00000059796"
"304","ENSMUSG00000021339"
"305","ENSMUSG00000096599"
"306","ENSMUSG00000019777"
"307","ENSMUSG00000026173"
"308","ENSMUSG00000101188"
"309","ENSMUSG00000024188"
"310","ENSMUSG00000027499"
"311","ENSMUSG00000024912"
"312","ENSMUSG00000042354"
"313","ENSMUSG00000027200"
"314","ENSMUSG00000015839"
"315","ENSMUSG00000001755"
"316","ENSMUSG00000027496"
"317","ENSMUSG00000096937"
"318","ENSMUSG00000002625"
"319","ENSMUSG00000054823"
"320","ENSMUSG00000096755"
"321","ENSMUSG00000081120"
"322","ENSMUSG00000031790"
"323","ENSMUSG00000024052"
"324","ENSMUSG00000101257"
"325","ENSMUSG00000019927"
"326","ENSMUSG00000029685"
"327","ENSMUSG00000103611"
"328","ENSMUSG00000105166"
"329","ENSMUSG00000064120"
"330","ENSMUSG00000042487"
"331","ENSMUSG00000009905"
"332","ENSMUSG00000021898"
"333","ENSMUSG00000082107"
"334","ENSMUSG00000020826"
"335","ENSMUSG00000108181"
"336","ENSMUSG00000042359"
"337","ENSMUSG00000037573"
"338","ENSMUSG00000072437"
"339","ENSMUSG00000033871"
"340","ENSMUSG00000053581"
"341","ENSMUSG00000044086"
"342","ENSMUSG00000032649"
"343","ENSMUSG00000007480"
"344","ENSMUSG00000074578"
"345","ENSMUSG00000036002"
"346","ENSMUSG00000044641"
"347","ENSMUSG00000039634"
"348","ENSMUSG00000027187"
"349","ENSMUSG00000090693"
"350","ENSMUSG00000086841"
"351","ENSMUSG00000099596"
"352","ENSMUSG00000008384"
"353","ENSMUSG00000022131"
"354","ENSMUSG00000026788"
"355","ENSMUSG00000047146"
"356","ENSMUSG00000022791"
"357","ENSMUSG00000006456"
"358","ENSMUSG00000047407"
"359","ENSMUSG00000020661"
"360","ENSMUSG00000050069"
"361","ENSMUSG00000030247"
"362","ENSMUSG00000112182"
"363","ENSMUSG00000031145"
"364","ENSMUSG00000097295"
"365","ENSMUSG00000040113"
"366","ENSMUSG00000039483"
"367","ENSMUSG00000030614"
"368","ENSMUSG00000001473"
"369","ENSMUSG00000025040"
"370","ENSMUSG00000027654"
"371","ENSMUSG00000025754"
"372","ENSMUSG00000051359"
"373","ENSMUSG00000047036"
"374","ENSMUSG00000008035"
"375","ENSMUSG00000028954"
"376","ENSMUSG00000094891"
"377","ENSMUSG00000051373"
"378","ENSMUSG00000097108"
"379","ENSMUSG00000000915"
"380","ENSMUSG00000030470"
"381","ENSMUSG00000025648"
"382","ENSMUSG00000044068"
"383","ENSMUSG00000096910"
"384","ENSMUSG00000086414"
"385","ENSMUSG00000037640"
"386","ENSMUSG00000058925"
"387","ENSMUSG00000019564"
"388","ENSMUSG00000061603"
"389","ENSMUSG00000067399"
"390","ENSMUSG00000020941"
"391","ENSMUSG00000035953"
"392","ENSMUSG00000025075"
"393","ENSMUSG00000049807"
"394","ENSMUSG00000105526"
"395","ENSMUSG00000109225"
"396","ENSMUSG00000110411"
"397","ENSMUSG00000102844"
"398","ENSMUSG00000009633"
"399","ENSMUSG00000002910"
"400","ENSMUSG00000106560"
"401","ENSMUSG00000026921"
"402","ENSMUSG00000019970"
"403","ENSMUSG00000088022"
"404","ENSMUSG00000106575"
"405","ENSMUSG00000020108"
"406","ENSMUSG00000027954"
"407","ENSMUSG00000018899"
"408","ENSMUSG00000107605"
"409","ENSMUSG00000028599"
"410","ENSMUSG00000046470"
