"","x"
"626","Gm42855"
"627","P2ry4"
"628","Gm13141"
"629","Gm40414"
"630","Olfr896-ps1"
"631","Elf5"
"632","Gm7183"
"633","Cbfa2t2-ps1"
"634","Gm10608"
"635","Zfp358"
"636","Zfp268"
"637","Zfp984"
"638","Gm11703"
"639","Gm43247"
"640","Rpl28-ps3"
"641","Gm7516"
"642","Gm28900"
"643","Gm16416"
"644","Gm5147"
"645","Gm6919"
"646","Gm8054"
"647","Rpl21-ps7"
"648","Mrpl23-ps1"
"649","Gm19353"
"650","Ncoa2"
"651","Gm14269"
"652","Ngef"
"653","Pgm5"
"654","Gm10074"
"655","Slc22a15"
"656","Ccdc162"
"657","Gm12568"
"658","Wdr91"
"659","Stat5a"
"660","Atp2a3"
"661","Dyrk1b"
"662","Wdr81"
"663","Blm"
"664","Zc3h12d"
"665","Gm38317"
"666","Nphs1"
"667","Gm9719"
"668","Gm11539"
"669","Gm14539"
"670","Rpl36-ps12"
"671","Pdcd5-ps"
"672","Rps19-ps12"
"673","Ldha-ps"
"674","Gm4707"
"675","Gm14231"
"676","Gm4754"
"677","Gm13592"
"678","Gm8330"
"679","Gm15361"
"680","Gm47986"
"681","Gm46209"
"682","Gm9658"
"683","Gm7507"
"684","Gm44609"
"685","Gm5425"
"686","Gm10039"
"687","Gm4374"
"688","Gm14044"
"689","Gm12045"
"690","Gm43561"
"691","Gm14251"
"692","Gm12643"
"693","Gm4997"
"694","Gm4705"
"695","Gm14336"
"696","Rpl21-ps11"
"697","Gm3355"
"698","Gm10073"
"699","Gm11942"
"700","Rps12-ps1"
"701","Rpl14-ps1"
"702","Gm17214"
"703","Gm42845"
"704","Gm12254"
"705","Gm12341"
"706","Gm9645"
"707","Gm14706"
"708","Gm15921"
"709","Gm6065"
"710","Gm12912"
"711","Gm10252"
"712","Dmbt1"
"713","Gm42814"
"714","Gm13532"
"715","Gm8101"
"716","Rpl17-ps9"
"717","Gm10916"
"718","Gm15526"
"719","Gm6043"
"720","Gm7964"
"721","Gm12009"
"722","Gm14491"
"723","Gm6426"
"724","Gm5055"
"725","Gm5239"
"726","Gm12164"
"727","Gm11975"
"728","Gm4986"
"729","Gm12038"
"730","Ndufs6b"
"731","Gm45838"
"732","Gas7"
"733","Gm6563"
"734","Gm6030"
"735","Gm53055"
"736","Gm5558"
"737","Gm15702"
"738","Slc25a5-ps"
"739","Gm17823"
"740","Gm14173"
"741","Abcc6"
"742","Gm12090"
"743","Gm14448"
"744","Rbx1-ps"
"745","Depp1"
"746","Gm14287"
"747","Gm10653"
"748","Gm16061"
"749","Gm12176"
"750","Atg4a-ps"
"751","Gm13991"
"752","Gm4478"
"753","Gm15682"
"754","Rps2-ps9"
"755","Gm8508"
"756","Gm19587"
"757","Krt19"
"758","Cd24a"
"759","Rpl12-ps1"
"760","Ehf"
"761","Gm8425"
"762","Gm16071"
"763","Gm4978"
"764","Rpl7a-ps5"
"765","Gm9105"
"766","Spib"
"767","Axl"
"768","Gm32540"
"769","Oaz1-ps"
"770","Cyp3a59"
"771","Cyp3a25"
"772","Steap3"
"773","Dhrs3"
"774","Tspan9"
"775","Itgb5"
"776","Tmem9"
"777","Gm6525"
"778","Grk5"
"779","Gm12166"
"780","Gm9687"
"781","Cyp2j6"
"782","Cox6c2"
"783","Gm15504"
"784","Arl4d"
"785","Gm9143"
"786","Ctrb1"
"787","Gm14253"
"788","Map3k13"
"789","Gm44117"
"790","Sgms2"
"791","Cdc14b"
"792","Gm5524"
"793","Gask1a"
"794","Ctdsp2-ps"
"795","Gm12543"
"796","Gm9278"
"797","Npr1"
"798","Ctc1"
"799","Rps4x-ps"
"800","Gm18588"
"801","Ackr4"
"802","Gm7838"
"803","Rnf170-ps"
"804","Gm5160"
"805","Acat3"
"806","Mms22l"
"807","Tmc6"
"808","Gm21399"
"809","Gm5566"
"810","Gm20302"
"811","Gm4968"
"812","Ctdsp2"
"813","Gm16121"
"814","Gm48633"
"815","Gm8109"
"816","Serpinb8"
"817","Itga8"
"818","Lamb1"
"819","Dpysl2"
"820","Bcl7c"
"821","Slc40a1"
"822","E230029C05Rik"
"823","Dnase1l1"
"824","Gm8261"
"825","Tspan14"
"826","Gm8577"
"827","Mme"
"828","5033403H07Rik"
"829","Elp4"
"830","Cdk2"
"831","Pld4"
"832","Tspan7"
"833","Hyi"
"834","Cyp3a57"
